rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24
1,13,-1.41364435097034,-0.0384061088909173,-0.0676797820020271,-0.181010876300078,0.00406704205134911,-0.00855825017458405,-0.708478535210081,-0.0331618406911984,-1.20137503346087,0.0800403501557594,0,0,0,0,0,0,0,0,0,0,0,0
2,13,-2.07625017603783,-0.0403460368018533,-0.0785532055205229,-0.76661731902317,-0.0263956763551256,0.00266023365592981,-1.12660962020603,-0.053947140901997,-1.27057562724202,0.00339909287911195,0,0,0,0,0,0,0,0,0,0,0,0
3,13,-1.81432214752274,-0.0120374390719325,-0.0193490461231331,-0.595246119798,-0.0758880490674665,0.0059432762392477,-0.271789082232172,-0.204252447135259,-0.137505245037033,-0.0756690427438404,0,0,0,0,0,0,0,0,0,0,0,0
1,14,-0.477559173434889,-0.0920043748571967,-0.0203239696301973,0.810074748376719,-0.00865659727551549,-8.51637868706152e-05,-1.4621173095645,-0.382398691492935,1.00921028747022,0.0320191975600292,0,0,0,0,0,0,0,0,0,0,0,0
2,14,-1.443084590556,-0.135905129758099,-0.0231810283699615,0.609727422447948,0.0517898528234877,-0.00297206651116921,-2.57897009261349,-0.454318901571448,0.23681140604893,0.0775959281052686,0,0,0,0,0,0,0,0,0,0,0,0
3,14,1.26490248390235,-0.00128177585366371,0.0646986800572788,0.189802289941125,0.0404296761672027,0.0112233947158627,-2.10928867437649,-0.0262666138191125,1.46027098945883,0.0185659996377207,0,0,0,0,0,0,0,0,0,0,0,0
1,15,-2.10538209729927,-0.0986250870326421,0.0343565092846362,-1.41668551732875,0.113157580991575,0.000260722195832602,1.00173383518569,-0.103901959997401,0.505708863634016,-0.00468476024130461,0,0,0,0,0,0,0,0,0,0,0,0
2,15,-2.24046888556533,-0.0520416143639711,-0.108044185622552,-1.84881176493436,0.0148816527996107,-0.0033747681303691,-0.331976900361719,0.320449354494473,0.708081128767953,-0.00359399095839315,0,0,0,0,0,0,0,0,0,0,0,0
3,15,-0.312233172635589,-0.109918612375167,0.0541253391512905,-0.601935850458492,0.0601457806823475,-0.00782959803949058,-0.22358921419047,-0.0206652142233388,0.798449678134106,0.0208198520509403,0,0,0,0,0,0,0,0,0,0,0,0
1,16,-1.22116714340231,-0.0636942478908045,-0.00503969613957736,-0.582643986907984,-0.0425034595839877,-0.00249894343609484,0.741514824361484,0.125041471752512,-0.00430737634139167,-0.0897128691627613,0,0,0,0,0,0,0,0,0,0,0,0
