id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha21_SAEM,alpha22_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,b02_mean,b12_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha12_mean,alpha21_mean,alpha22_mean,b01_mode,b11_mode,b21_mode,a1_mode,b02_mode,b12_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha12_mode,alpha21_mode,alpha22_mode,b01_sd,b11_sd,b21_sd,a1_sd,b02_sd,b12_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha12_sd,alpha21_sd,alpha22_sd
42,6.7536,-0.165571,-0.160127,4.45999,7.41209,0.00302697,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,6.59828,-0.164874,-0.198529,4.42878,7.41552,0.00278699,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,6.43057,-0.147245,-0.177213,3.99719,7.4167,0.00275111,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.536486,0.0720215,0.0883057,3.46923,0.0189676,0.00100728,0,0,0,0,0,0,0,0
43,4.75038,-0.188966,-0.11883,4.61271,7.40174,0.00258271,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,4.78147,-0.184315,-0.128219,6.36721,7.40127,0.00216207,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,4.69494,-0.177389,-0.0920436,6.21717,7.40127,0.00260579,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.860884,0.0798446,0.0848154,7.35857,0.0209235,0.00444106,0,0,0,0,0,0,0,0
44,3.18331,-0.08292,-0.197306,4.68781,7.40104,0.00557394,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,3.47947,-0.103156,-0.19909,4.31841,7.3977,0.00593787,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.9436,-0.0602664,-0.196081,6.67145,7.39867,0.00586524,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.32497,0.0993165,0.0768128,2.73898,0.0242752,0.00319359,0,0,0,0,0,0,0,0
45,5.87805,-0.129774,-0.190101,4.59949,7.3681,0.00259412,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,5.94393,-0.14488,-0.196314,4.75577,7.36494,0.00308201,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,5.36901,-0.0975878,-0.18136,4.59779,7.36767,0.00271771,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.813991,0.0921082,0.0746764,6.02113,0.0225483,0.00315947,0,0,0,0,0,0,0,0
46,2.93276,-0.117221,-0.189345,4.00298,7.39286,-0.000415849,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,2.88698,-0.104341,-0.18515,3.53149,7.39374,-0.000171741,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,2.37953,-0.087878,-0.171563,4.53005,7.39536,-0.00038586,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.70831,0.0846274,0.0828946,3.19083,0.0195033,0.00394789,0,0,0,0,0,0,0,0
47,6.30411,-0.0347584,-0.221919,13.5062,7.38144,0.00154744,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,6.39379,-0.0333512,-0.206564,11.4244,7.38268,0.00150027,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,5.41722,-0.00248052,-0.211284,13.0958,7.38266,0.00187928,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.35922,0.0947398,0.0826249,9.67667,0.0259851,0.00541647,0,0,0,0,0,0,0,0
48,3.21851,-0.140442,-0.168529,5.88165,7.37463,0.00432954,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,3.27861,-0.150264,-0.163667,7.15173,7.37313,0.00361654,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,2.60762,-0.136968,-0.167651,3.97724,7.37611,0.00376044,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.12406,0.0960182,0.093944,12.2775,0.0319619,0.00478156,0,0,0,0,0,0,0,0
49,3.48889,-0.0736619,-0.194179,4.68935,7.40945,0.0121355,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,1.62203,-0.0193024,-0.178058,5.8526,7.41341,0.0119188,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,2.1507,0.0040086,-0.139255,4.78528,7.40722,0.0123112,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,2.68091,0.069657,0.058041,2.33044,0.0170524,0.00105797,0,0,0,0,0,0,0,0
50,6.55362,-0.0919099,-0.187152,6.38254,7.37281,-0.00102884,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,6.50408,-0.0864721,-0.181087,6.01692,7.37174,-0.000801526,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,6.2106,-0.0861859,-0.19448,5.36924,7.3722,-0.000341089,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.05515,0.0879859,0.0848608,5.08403,0.0272795,0.00542891,0,0,0,0,0,0,0,0
51,2.69088,-0.134724,-0.294902,17.1398,7.4788,-0.00418704,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,2.50742,-0.124036,-0.304212,14.7757,7.47178,-0.00369972,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,2.36868,-0.12281,-0.275596,15.7075,7.47636,-0.00399405,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.500172,0.0303065,0.0549722,4.13409,0.0182177,0.00102666,0,0,0,0,0,0,0,0
