rep,id,b02,b12,b03,b13,b05,b15,b06,b16,h1,h2,alpha12,alpha13,alpha15,alpha16,alpha22,alpha23,alpha25,alpha26,hcov1,hcov2,eta_b02,eta_b12,eta_b03,eta_b13,eta_b05,eta_b15,eta_b06,eta_b16,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha15,eta_alpha16,eta_alpha22,eta_alpha23,eta_alpha25,eta_alpha26,eta_hcov1,eta_hcov2
2,4,6.61289851048701,-0.130205090696075,3.90941893312851,-0.271007903282899,4.29216978251678,0.00552110242221804,92.5735579131938,-0.0129673459570571,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,3.50343764106162e-15,-1.14625878682396,0.533710179180011,-0.0811627588960823,-0.333164661209211,-0.113292386815809,-0.126975294857994,-0.00551971929312031,-1.74944127280283,0.00168435588926911,0,0,0,0,0,0,0,0,0,0,0,0
3,4,5.21040737057279,-0.122221452667367,2.86011533553711,-0.260200100343243,4.47423020826052,0.0396902885525011,93.6601571641053,0.08112355227973,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,3.50343764106162e-15,-1.14625878682396,-0.868780960734203,-0.073179120867374,-1.38246825880061,-0.102484583876153,0.0550851308857441,0.0286494668371627,-0.662842021891379,0.0957752541260563,0,0,0,0,0,0,0,0,0,0,0,0
1,5,9.17391430258247,-0.159964205945503,3.95304231455392,-0.0290406770756547,4.30687488657362,0.0452915533329632,95.8877848495241,-0.194594047447147,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,1.31378911539811e-15,-0.429847045058987,3.09472597127547,-0.11092187414551,-0.289541279783802,0.128674839391436,-0.112270190801147,0.0342507316176248,1.56478566352749,-0.179942345600821,0,0,0,0,0,0,0,0,0,0,0,0
2,5,9.00923736889998,-0.15796129481726,3.41310826925974,-0.0177496961066601,4.66264227013016,0.0578728469718898,94.8245200931946,-0.258049932894698,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,1.31378911539811e-15,-0.429847045058987,2.93004903759299,-0.108918963017268,-0.829475325077981,0.13996582036043,0.243497192755389,0.0468320252565514,0.5015209071979,-0.243398231048371,0,0,0,0,0,0,0,0,0,0,0,0
3,5,9.77042467040228,-0.182264318615202,3.14635309273144,0.00641041095982854,4.78911354117246,0.04556077637131,93.9345893718205,-0.116815849903828,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,1.31378911539811e-15,-0.429847045058987,3.69123633909528,-0.13322198681521,-1.09623050160628,0.164125927426919,0.36996846379769,0.0345199546559716,-0.388409814176185,-0.102164148057502,0,0,0,0,0,0,0,0,0,0,0,0
1,6,4.34252587056311,-0.0652908378008218,5.62162186934065,-0.135781164792306,4.08858762198605,0.00069994690956725,88.3769014813459,0.0614101329733574,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,8.75859410265406e-16,-0.286564696705991,-1.73666246074389,-0.0162485060008292,1.37903827500293,0.0219343516747845,-0.330557455388725,-0.0103408748057711,-5.9460977046508,0.0760618348196836,0,0,0,0,0,0,0,0,0,0,0,0
2,6,6.57237002004069,-0.0789808516875931,5.76370208818938,-0.211593089077805,4.03443656391298,0.027287771754736,97.2687442358624,0.0916907939564311,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,8.75859410265406e-16,-0.286564696705991,0.493181688733692,-0.0299385198876004,1.52111849385166,-0.0538775726107151,-0.384708513461792,0.0162469500393977,2.94574504986571,0.106342495802757,0,0,0,0,0,0,0,0,0,0,0,0
3,6,6.2987178323537,-0.0625763853495782,5.10214750728107,-0.366848075880907,4.34677714673216,0.0103104407847466,94.4756053349064,-0.00684085721745601,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,8.75859410265406e-16,-0.286564696705991,0.219529501046707,-0.0135340535495855,0.85956391294335,-0.209132559413817,-0.0723679306426073,-0.000730380930591801,0.152606148909769,0.00781084462887021,0,0,0,0,0,0,0,0,0,0,0,0
1,7,7.84180205589937,0.0172347757660011,5.39143417214692,-0.1970136599004,4.03751292080513,0.0358584805553375,93.2362173006137,-0.154636074927649,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,5.25515646159244e-15,-1.71938818023595,1.76261372459238,0.0662771075659938,1.1488505778092,-0.03929814343331,-0.381632156569645,0.0248176588399992,-1.08678188538299,-0.139984373081323,0,0,0,0,0,0,0,0,0,0,0,0
2,7,7.17171311321544,-0.0637141907679575,4.2937632962447,0.0390502967833699,4.00567171612303,0.0305922023660826,92.7585358077415,-0.09049288643646,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,5.25515646159244e-15,-1.71938818023595,1.09252478190845,-0.0146718589679649,0.0511797019069844,0.19676581325046,-0.413473361251738,0.0195513806507442,-1.56446337825518,-0.0758411845901338,0,0,0,0,0,0,0,0,0,0,0,0
