rep,id,b02,b12,b03,b13,h1,h2,alpha12,alpha13,alpha22,alpha23,hcov1,hcov2,eta_b02,eta_b12,eta_b03,eta_b13,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23,eta_hcov1,eta_hcov2
2,15,5.91699291192919,0.0352290453467896,2.20961991394273,0.16916023103984,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,3.01832242385936,-1.43552436581759,1.67247696795564,0.191433732354171,-3.3858561619525,0.121507168679821,0,0,0,0,0,0,0,0
3,15,5.33919921202848,-0.26707192650709,6.57840080434858,0.00594816155957995,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,3.01832242385936,-1.43552436581759,1.09468326805494,-0.110867239499708,0.982924728453347,-0.0417049008004382,0,0,0,0,0,0,0,0
1,16,4.79401603718843,-0.111440185948024,7.29599765299686,-0.0588593706682225,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,3.01832242385936,-1.43552436581759,0.549500093214878,0.0447645010593574,1.70052157710163,-0.106512433028241,0,0,0,0,0,0,0,0
2,16,5.2505386524963,-0.0299252949186183,6.55224217026493,0.0803043992703358,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,3.01832242385936,-1.43552436581759,1.00602270852276,0.126279392088764,0.956766094369693,0.0326513369103176,0,0,0,0,0,0,0,0
3,16,4.93420428827648,-0.0262256110969753,6.79883024484496,-0.0014326478318961,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,3.01832242385936,-1.43552436581759,0.689688344302934,0.129979075910406,1.20335416894972,-0.0490857101919143,0,0,0,0,0,0,0,0
1,17,4.305403414175,-0.25183540663095,6.3571545756403,0.00410786722814109,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.67684579103298,-0.797513536565327,0.0608874702014539,-0.0956307196235684,0.761678499745069,-0.0435451951318771,0,0,0,0,0,0,0,0
2,17,3.46847182585399,-0.142086234227029,5.96959601635458,-0.0417630718732741,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.67684579103298,-0.797513536565327,-0.776044118119562,0.0141184527803529,0.374119940459342,-0.0894161342332923,0,0,0,0,0,0,0,0
3,17,3.82126576294569,-0.298812060145207,6.71965457394001,0.00754860797853078,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.67684579103298,-0.797513536565327,-0.423250181027859,-0.142607373137825,1.12417849804477,-0.0401044543814874,0,0,0,0,0,0,0,0
1,18,3.58712596314491,-0.249252118397445,6.95362149225595,0.0527669918325588,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,0.67073831641319,-0.319005414626131,-0.657389980828642,-0.0930474313900629,1.35814541636071,0.00511392947254057,0,0,0,0,0,0,0,0
2,18,4.23937106758417,-0.27639263370641,7.91728416001669,-0.0089973597035292,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,0.67073831641319,-0.319005414626131,-0.0051448763893811,-0.120187946699028,2.32180808412145,-0.0566504220635474,0,0,0,0,0,0,0,0
3,18,4.68988206393629,-0.319060084609181,7.12634875081828,0.0614364417390245,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,0.67073831641319,-0.319005414626131,0.445366119962745,-0.162855397601799,1.53087267492305,0.0137833793790063,0,0,0,0,0,0,0,0
