id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha21_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha21_mean,b01_mode,b11_mode,b21_mode,a1_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha21_mode,b01_sd,b11_sd,b21_sd,a1_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha21_sd
119,5.49008,-0.0965831,-0.192742,5.44953,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.62272,-0.0946884,-0.178976,4.30288,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.82379,-0.0724687,-0.187078,5.95415,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.15364,0.0846938,0.0872699,4.12105,0,0,0,0,0,0
120,7.43753,-0.0870733,-0.235328,10.819,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,7.77083,-0.0883072,-0.239962,8.93289,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,6.72548,-0.0809916,-0.222095,12.9342,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.13889,0.045871,0.0686129,6.1202,0,0,0,0,0,0
121,6.16986,-0.14657,-0.183184,3.35972,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,6.09259,-0.145443,-0.193055,4.57441,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,5.92772,-0.122849,-0.188551,3.97674,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.572337,0.0641141,0.0778423,4.857,0,0,0,0,0,0
122,4.00927,-0.134088,-0.181243,3.17918,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,4.1871,-0.145694,-0.163126,3.51542,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,3.86418,-0.126109,-0.152903,3.26071,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.6777,0.0813481,0.0621476,4.24154,0,0,0,0,0,0
123,2.2365,-0.127267,-0.184341,3.56081,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,2.15674,-0.136081,-0.209683,3.57833,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,2.0174,-0.114524,-0.177936,3.80455,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.329657,0.0581848,0.0621457,2.94873,0,0,0,0,0,0
124,5.52846,-0.100889,-0.180052,4.39838,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.61988,-0.106457,-0.188924,4.01935,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.71766,-0.060361,-0.164013,4.67443,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.90288,0.0811557,0.0814821,4.19809,0,0,0,0,0,0
125,2.10726,-0.16423,-0.112383,5.59084,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,1.93967,-0.175559,-0.121728,2.12245,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,2.05996,-0.12114,-0.0739919,4.51506,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.591696,0.0623488,0.0881752,1.73406,0,0,0,0,0,0
126,4.21129,-0.147878,-0.136628,4.19807,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,4.22396,-0.133146,-0.136375,4.8531,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,3.79426,-0.162674,-0.125697,4.11762,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.854707,0.0948161,0.0815645,7.82161,0,0,0,0,0,0
127,6.08232,-0.0456565,-0.166248,3.9621,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.41909,-0.0191093,-0.157073,4.1432,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.65604,0.00428029,-0.138042,3.86296,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.30644,0.0807978,0.0674855,3.90603,0,0,0,0,0,0
128,6.5951,-0.12544,-0.153194,5.11067,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,6.44903,-0.124458,-0.159735,5.6586,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,6.26823,-0.12438,-0.159426,3.30624,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.01407,0.0987814,0.0892019,6.10109,0,0,0,0,0,0
